Experience,Salary,Age,Gender,Hours_Worked,Department
14,16174,45,Male,38,IT
12,12795,36,Male,30,Sales
0,5451,28,Male,50,Marketing
24,24341,57,Male,49,IT
6,7054,37,Male,42,Marketing
8,9626,38,Male,57,HR
23,20719,48,Male,45,Finance
0,3423,33,Female,58,IT
11,11226,33,Male,42,Sales
7,8391,30,Male,43,HR
23,22281,45,Female,32,Marketing
10,13571,43,Female,58,HR
18,15846,44,Female,35,IT
16,17214,42,Male,47,Marketing
7,10720,39,Female,48,Finance
2,6883,30,Male,34,HR
2,7891,32,Male,44,IT
0,5203,30,Male,54,Sales
26,21968,50,Male,31,Marketing
4,5569,28,Female,39,HR
9,9585,33,Female,53,HR
6,7879,31,Male,59,Finance
25,22893,54,Male,47,Finance
8,10032,35,Male,56,Sales
27,23356,56,Female,42,Sales
6,6719,28,Male,34,IT
8,9280,37,Male,52,IT
7,9310,32,Female,53,Sales
11,14525,43,Female,30,Sales
1,3931,23,Male,51,Marketing
0,4424,29,Female,30,Finance
15,14869,40,Female,47,IT
22,19590,49,Male,44,Finance
22,22495,51,Female,46,Finance
29,24116,54,Male,40,Sales
23,21303,47,Female,50,Marketing
4,8338,34,Male,55,HR
2,4850,26,Male,54,Marketing
11,14214,41,Male,51,Marketing
7,9881,41,Female,56,Finance
21,18912,44,Male,56,Marketing
26,23314,49,Female,46,IT
2,4731,25,Male,42,Finance
0,2983,27,Male,30,IT
2,4212,26,Female,31,HR
4,9522,38,Male,38,Finance
14,15849,44,Male,32,HR
13,13119,38,Female,30,Finance
2,7309,24,Male,50,Sales
0,3391,25,Male,45,Marketing
4,5659,26,Male,52,Sales
25,24722,51,Male,35,HR
22,19237,47,Female,57,Marketing
13,15508,42,Female,46,Finance
6,10906,35,Male,34,Marketing
26,22796,54,Female,34,IT
8,11543,32,Male,35,Marketing
14,13812,36,Female,32,IT
14,13303,36,Male,50,Marketing
25,22870,58,Male,52,IT
9,9930,41,Male,34,HR
27,25287,51,Male,50,Sales
12,14258,39,Male,34,Finance
18,18194,46,Male,39,Marketing
6,9997,33,Female,39,Sales
16,14503,43,Male,48,Finance
19,18279,46,Female,46,Finance
28,27206,62,Male,50,IT
3,5446,27,Female,43,HR
29,27257,56,Female,38,HR
4,8194,33,Female,43,Sales
22,22456,54,Male,30,HR
